pathway,Adjusted p-value,Significant (in gene set)
Hyaluronan biosynthesis and export,1,0
Methylation,0.876591737390175,1
Eukaryotic Translation Termination,1,0
Disinhibition of SNARE formation,0.876591737390175,1
Insulin processing,1,0
Peptide hormone metabolism,1,0
Zinc transporters,1,0
Zinc efflux and compartmentalization by the SLC30 family,1,0
Regulation of TP53 Activity,0.46963879007232534,4
Regulation of TP53 Activity through Acetylation,0.6759174863444787,2
PI5P Regulates TP53 Acetylation,0.7826927861242249,1
Synthesis of PIPs in the nucleus,1,0
Senescence-Associated Secretory Phenotype (SASP),1,1
Transcriptional regulation by RUNX1,1,0
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,1,0
PERK regulates gene expression,1,0
Role of phospholipids in phagocytosis,0.7826927861242249,1
"Synthesis of IP2, IP, and Ins in the cytosol",0.9854094813584289,1
Digestion of dietary carbohydrate,1,0
Digestion,0.876591737390175,1
Digestion and absorption,0.9178207506500137,1
Ionotropic activity of kainate receptors,0.7826927861242249,1
Activation of Ca-permeable Kainate Receptor,0.7826927861242249,1
Activation of kainate receptors upon glutamate binding,0.7826927861242249,1
Electron transport from NADPH to Ferredoxin,1,0
Peptide chain elongation,0.6759174863444787,1
SUMO is conjugated to E1 (UBA2:SAE1),0.7826927861242249,1
PKMTs methylate histone lysines,1,0
Sodium/Proton exchangers,1,0
AMPK inhibits chREBP transcriptional activation activity,1,0
Energy dependent regulation of mTOR by LKB1-AMPK,0.46963879007232534,3
PI3K Cascade,0.9178207506500137,1
IRS-mediated signalling,0.9178207506500137,1
Activation of AKT2,0.9178207506500137,1
TCR signaling,1,1
Downstream TCR signaling,0.9854094813584289,1
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0.9178207506500137,1
IGF1R signaling cascade,0.9178207506500137,1
IRS-related events triggered by IGF1R,0.9178207506500137,1
Role of LAT2/NTAL/LAB on calcium mobilization,1,0
G beta:gamma signalling through PI3Kgamma,0.5511376314025882,2
G-protein beta:gamma signalling,0.5511376314025882,2
CREB phosphorylation through the activation of Ras,1,1
RSK activation,1,1
Regulation of TP53 Degradation,0.9178207506500137,1
Regulation of TP53 Expression and Degradation,0.9178207506500137,1
Insulin receptor signalling cascade,0.9178207506500137,1
Cellular hexose transport,1,0
Inositol transporters,1,0
SUMO is proteolytically processed,0.6759174863444787,1
Coenzyme A biosynthesis,1,0
Vitamin B5 (pantothenate) metabolism,1,0
Effects of PIP2 hydrolysis,0.6759174863444787,1
Downstream signaling events of B Cell Receptor (BCR),0.5224911514913724,1
Activation of NF-kappaB in B cells,0.5224911514913724,1
EGFR Transactivation by Gastrin,0.5224911514913724,1
FCERI mediated NF-kB activation,0.5224911514913724,1
Acetylcholine regulates insulin secretion,0.6759174863444787,1
G alpha (q) signalling events,0.6759174863444787,2
Regulation of insulin secretion,0.876591737390175,1
HuR (ELAVL1) binds and stabilizes mRNA,0.1825691349706194,2
Gastrin-CREB signalling pathway via PKC and MAPK,0.5511376314025882,2
Signaling by the B Cell Receptor (BCR),0.5224911514913724,1
DNA Damage/Telomere Stress Induced Senescence,1,0
Sensing of DNA Double Strand Breaks,1,0
Regulation of TP53 Activity through Phosphorylation,0.5511376314025882,2
5-Phosphoribose 1-diphosphate biosynthesis,0.7826927861242249,1
Intraflagellar transport,1,0
Inhibition of replication initiation of damaged DNA by RB1/E2F1,1,0
E2F mediated regulation of DNA replication,1,0
Polymerase switching on the C-strand of the telomere,1,1
Telomere C-strand (Lagging Strand) Synthesis,1,1
Telomere C-strand synthesis initiation,1,0
DNA replication initiation,1,0
Polymerase switching,1,1
Leading Strand Synthesis,1,1
MAPK3 (ERK1) activation,0.3758220285045913,2
RAF-independent MAPK1/3 activation,0.3758220285045913,2
MAPK1 (ERK2) activation,0.7826927861242249,1
Signalling to ERK5,1,0
NCAM signaling for neurite out-growth,0.9178207506500137,1
MAP2K and MAPK activation,0.7826927861242249,1
Negative feedback regulation of MAPK pathway,0.7826927861242249,1
Ubiquinol biosynthesis,1,0
Neurotransmitter release cycle,0.9178207506500137,1
"GABA synthesis, release, reuptake and degradation",0.7826927861242249,1
Degradation of GABA,0.6759174863444787,1
Interleukin-7 signaling,0.876591737390175,1
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,1,0
Synthesis of PG,1,0
Synthesis of PI,1,0
Vitamins B6 activation to pyridoxal phosphate,1,0
Recycling of bile acids and salts,1,0
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,1,0
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,1,0
Alpha-oxidation of phytanate,1,0
"Transport of vitamins, nucleosides, and related molecules",1,0
Transport of fatty acids,1,0
Assembly of the ORC complex at the origin of replication,1,0
Assembly of the pre-replicative complex,1,0
Apoptosis induced DNA fragmentation,1,0
Activation of DNA fragmentation factor,1,0
Regulation of TLR by endogenous ligand,1,0
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",0.3841794781848388,3
Phosphate bond hydrolysis by NUDT proteins,1,0
MHC class II antigen presentation,0.7826927861242249,1
RNA Polymerase I Transcription Initiation,1,0
RNA Polymerase I Promoter Clearance,1,0
RNA Polymerase I Transcription,1,0
Androgen biosynthesis,1,0
mTORC1-mediated signalling,1,1
Glycogen breakdown (glycogenolysis),1,0
Glycogen metabolism,1,0
Cation-coupled Chloride cotransporters,1,0
Synthesis of 12-eicosatetraenoic acid derivatives,1,0
Synthesis of 15-eicosatetraenoic acid derivatives,1,0
Biosynthesis of D-series resolvins,1,0
Biosynthesis of DHA-derived SPMs,1,0
Biosynthesis of specialized proresolving mediators (SPMs),1,0
Biosynthesis of EPA-derived SPMs,1,0
Biosynthesis of E-series 18(S)-resolvins,1,0
Biosynthesis of aspirin-triggered D-series resolvins,1,0
Biosynthesis of E-series 18(R)-resolvins,1,0
Activation of ATR in response to replication stress,1,0
Presynaptic phase of homologous DNA pairing and strand exchange,1,0
Sodium-coupled phosphate cotransporters,1,0
Beta-oxidation of pristanoyl-CoA,1,0
Mitophagy,1,0
Receptor Mediated Mitophagy,1,0
Platelet homeostasis,0.7826927861242249,1
Reduction of cytosolic Ca++ levels,0.6759174863444787,1
Platelet calcium homeostasis,0.6759174863444787,1
Lysosomal oligosaccharide catabolism,1,0
Synthesis of glycosylphosphatidylinositol (GPI),1,0
Complex I biogenesis,1,0
Nicotinamide salvaging,1,0
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,1,0
Inactivation of APC/C via direct inhibition of the APC/C complex,1,0
Mitotic Spindle Checkpoint,1,0
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,1,0
Mineralocorticoid biosynthesis,1,0
Glucocorticoid biosynthesis,1,0
Vitamin B1 (thiamin) metabolism,1,0
Separation of Sister Chromatids,1,0
Mitotic Metaphase and Anaphase,1,0
Mitotic Anaphase,1,0
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,1,0
RAB GEFs exchange GTP for GDP on RABs,1,0
CDC6 association with the ORC:origin complex,1,0
Polo-like kinase mediated events,0.7826927861242249,1
PKA-mediated phosphorylation of CREB,0.876591737390175,1
Glucagon signaling in metabolic regulation,0.876591737390175,1
PKA activation,0.876591737390175,1
PKA activation in glucagon signalling,0.876591737390175,1
DARPP-32 events,0.876591737390175,1
WNT ligand biogenesis and trafficking,1,0
Glycogen synthesis,1,0
Urea cycle,0.9178207506500137,1
Phenylalanine and tyrosine catabolism,1,0
Stimuli-sensing channels,1,0
Hypusine synthesis from eIF5A-lysine,0.3758220285045913,2
Release of apoptotic factors from the mitochondria,1,0
ER Quality Control Compartment (ERQC),1,0
N-glycan trimming and elongation in the cis-Golgi,1,0
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",1,0
Agmatine biosynthesis,1,0
Pyrimidine biosynthesis,0.6759174863444787,1
Amino acid transport across the plasma membrane,0.876591737390175,1
Proton-coupled neutral amino acid transporters,0.6759174863444787,1
Digestion of dietary lipid,1,0
Keratinization,1,0
Formation of the cornified envelope,1,0
Signaling by ROBO receptors,0.2949259845457486,2
SLIT2:ROBO1 increases RHOA activity,0.2949259845457486,2
Regulation of beta-cell development,0.7826927861242249,1
AKT phosphorylates targets in the nucleus,0.7826927861242249,1
Regulation of gene expression in beta cells,0.7826927861242249,1
AKT-mediated inactivation of FOXO1A,0.7826927861242249,1
Arachidonate production from DAG,1,0
Regulation of RAS by GAPs,0.7826927861242249,1
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",0.47256442532329196,2
Glucuronidation,1,0
"Formation of the active cofactor, UDP-glucuronate",1,0
Cytosolic sulfonation of small molecules,1,0
Transport and synthesis of PAPS,1,0
Acyl chain remodelling of PS,1,0
Regulation of Apoptosis,1,0
Proton/oligopeptide cotransporters,1,0
Collagen degradation,1,0
Degradation of the extracellular matrix,1,0
Extracellular matrix organization,1,0
HSP90 chaperone cycle for steroid hormone receptors (SHR),1,0
Synthesis of IP3 and IP4 in the cytosol,1,0
G alpha (s) signalling events,1,0
Wax biosynthesis,1,0
RHO GTPases Activate Rhotekin and Rhophilins,0.6759174863444787,1
Neurotransmitter clearance,0.7826927861242249,1
Metabolism of serotonin,0.7826927861242249,1
Serotonin clearance from the synaptic cleft,0.7826927861242249,1
Triglyceride catabolism,1,0
Signaling by Hippo,1,0
Vitamin C (ascorbate) metabolism,1,0
Cleavage of the damaged purine,1,0
Depurination,1,0
Acetylcholine Neurotransmitter Release Cycle,1,0
HDR through Single Strand Annealing (SSA),1,0
Regulation of PLK1 Activity at G2/M Transition,1,0
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,1,0
Cytosolic tRNA aminoacylation,1,0
tRNA Aminoacylation,1,0
Mitochondrial tRNA aminoacylation,1,0
Pyrophosphate hydrolysis,1,0
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,1,0
Semaphorin interactions,0.6759174863444787,1
Sema4D in semaphorin signaling,0.6759174863444787,1
Sema4D induced cell migration and growth-cone collapse,0.6759174863444787,1
RHO GTPases Activate ROCKs,0.6759174863444787,1
Biosynthesis of protectins,1,0
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),1,0
Transport of nucleotide sugars,1,0
Generation of second messenger molecules,1,0
Synthesis of dolichyl-phosphate-glucose,1,0
Metabolism of ingested MeSeO2H into MeSeH,1,0
Utilization of Ketone Bodies,0.5224911514913724,1
Hedgehog 'on' state,0.6759174863444787,1
Intestinal absorption,1,0
Intestinal lipid absorption,1,0
Neurotransmitter uptake and metabolism In glial cells,1,0
Astrocytic Glutamate-Glutamine Uptake And Metabolism,1,0
PI3K/AKT activation,0.5224911514913724,1
Cytochrome P450 - arranged by substrate type,1,0
Endogenous sterols,1,0
Nitric oxide stimulates guanylate cyclase,1,0
FMO oxidises nucleophiles,1,0
Glutamate Neurotransmitter Release Cycle,1,0
Phosphate bond hydrolysis by NTPDase proteins,1,0
G-protein activation,1,0
Free fatty acids regulate insulin secretion,1,0
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,1,0
