pathway,Adjusted p-value,Significant (in gene set)
GO_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE,1,0
GO_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION,0.719992227829117,1
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.03201096797745844,23
GO_HOMOCYSTEINE_METABOLIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION,1,0
GO_COFACTOR_CATABOLIC_PROCESS,1,0
GO_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_DNA_BINDING,0.41875711857717357,3
GO_VENTRAL_SPINAL_CORD_DEVELOPMENT,1,1
GO_REGULATION_OF_CIRCADIAN_RHYTHM,0.07338656603473864,7
GO_ANION_TRANSPORT,1,5
GO_CELL_CELL_ADHESION,1.8625433317475497e-4,34
GO_MORPHOGENESIS_OF_AN_ENDOTHELIUM,0.03685695359749529,3
GO_GUANOSINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.09123587133690805,3
GO_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,1,1
GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,1,0
GO_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT,0.8779129136260913,1
GO_RESPONSE_TO_MAGNESIUM_ION,0.6563439224933438,1
GO_CELLULAR_RESPONSE_TO_ATP,0.7482748899184879,1
GO_CHOLESTEROL_EFFLUX,0.022607058587119623,4
GO_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY,0.12262062088662477,3
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY,1,2
GO_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY,0.6292163965923838,2
GO_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_LEFT_RIGHT_PATTERN_FORMATION,1,0
GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,0.015436057436466658,10
GO_RESPONSE_TO_XENOBIOTIC_STIMULUS,0.008165248542937185,13
GO_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,0.16200268608177415,3
GO_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS,0.6563439224933438,1
GO_PLACENTA_BLOOD_VESSEL_DEVELOPMENT,0.43970393654587536,2
GO_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY,1,0
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.022080437142861658,16
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,0.048419018268738984,4
GO_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS,1,0
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION,1,0
GO_AGING,1.3065842660271096e-10,31
GO_REGULATION_OF_VACUOLAR_TRANSPORT,0.05920477649209988,2
GO_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS,0.5201640341682086,1
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,0.04409919325901436,3
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,0.6205531268452404,2
GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.04461466780085065,8
GO_REGULATION_OF_BONE_DEVELOPMENT,1,0
GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,1,0
GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,0.2139077204449356,3
GO_POLYSACCHARIDE_CATABOLIC_PROCESS,0.061515212172899694,3
GO_NEGATIVE_REGULATION_OF_AUTOPHAGY,0.03226840460445585,6
GO_INNER_CELL_MASS_CELL_PROLIFERATION,1,0
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,1,0
GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,8.239815328969068e-5,25
GO_POSITIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION,0.5906121810691727,1
GO_STARTLE_RESPONSE,0.968177778296583,1
GO_MOTOR_NEURON_AXON_GUIDANCE,0.43970393654587536,2
GO_PYRIMIDINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS,1,0
GO_RESPONSE_TO_ENDOGENOUS_STIMULUS,6.361527237155053e-5,59
GO_HYPOTHALAMUS_DEVELOPMENT,0.6914961871364044,1
GO_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,0.005710578971084242,13
GO_POSITIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE,0.2600303274011024,2
GO_LATERAL_MESODERM_DEVELOPMENT,0.6248424326797761,1
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION,0.43970393654587536,3
GO_EMBRYO_DEVELOPMENT,0.1347561253625569,27
GO_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,0.6919311515053321,3
GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,3.5586855341769087e-4,18
GO_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.43970393654587536,2
GO_WATER_TRANSPORT,1,0
GO_ESTABLISHMENT_OF_CELL_POLARITY,0.06038506049791601,8
GO_BIOTIN_METABOLIC_PROCESS,1,0
GO_STEM_CELL_DIVISION,1,0
GO_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,0.0403803801885186,7
GO_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS,0.719992227829117,1
GO_DIGESTIVE_SYSTEM_DEVELOPMENT,0.11507915608233668,7
GO_POSITIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS,0.7482748899184879,1
GO_DNA_CONFORMATION_CHANGE,0.43970393654587536,8
GO_DETECTION_OF_MECHANICAL_STIMULUS,0.47319465432182045,2
GO_SEXUAL_REPRODUCTION,0.13285500809864753,18
GO_EPIDERMAL_CELL_DIFFERENTIATION,1,3
GO_SYNAPTONEMAL_COMPLEX_ORGANIZATION,0.4803121233934732,1
GO_BASE_EXCISION_REPAIR,0.24395562388073377,3
GO_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS,0.022607058587119623,4
GO_NEGATIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE,0.04409919325901436,3
GO_TAXIS,3.439549784228386e-4,32
GO_NEGATIVE_REGULATION_OF_AXON_GUIDANCE,1,1
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,1,0
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,1,0
GO_RESPONSE_TO_GLUCAGON,0.5902647582496886,2
GO_NEGATIVE_REGULATION_OF_TISSUE_REMODELING,0.7769076987193272,1
GO_EMBRYONIC_PLACENTA_DEVELOPMENT,0.20193505232051023,5
GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,0.2795547082333953,13
GO_ANATOMICAL_STRUCTURE_MATURATION,0.09983880037740753,8
GO_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,0.3955422821213552,2
GO_CELLULAR_EXTRAVASATION,1,1
GO_REGULATION_OF_TELOMERE_MAINTENANCE,3.0318626769633605e-6,12
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,0.46133454210961766,3
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION,0.9454004369267038,2
GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS,1,0
GO_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION,0.719992227829117,1
GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION,0.41875711857717357,3
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,1,0
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,0.6531646040886742,2
GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,1,2
GO_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE,1,0
GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,6.576910885705752e-4,16
GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.001567704601592513,33
GO_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTIONAL_PREINITIATION_COMPLEX_ASSEMBLY,0.6914961871364044,1
GO_EPITHELIAL_CELL_CELL_ADHESION,1,0
GO_REGULATION_OF_MITOCHONDRION_ORGANIZATION,0.018285570001469513,10
GO_POLYAMINE_METABOLIC_PROCESS,1,0
GO_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION,0.697176806453673,2
GO_NEGATIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_PTERIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,1,0
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,0.10642100208587386,7
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,1.4960122667925233e-7,14
GO_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY,1,0
GO_PROXIMAL_DISTAL_PATTERN_FORMATION,0.8779129136260913,1
GO_STRIATED_MUSCLE_CONTRACTION,0.20184544636110457,7
GO_NEGATIVE_REGULATION_OF_ANION_TRANSPORT,0.4206453264609167,2
GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.7769076987193272,1
GO_ECTODERM_DEVELOPMENT,0.23740948037796228,2
GO_HYALURONAN_METABOLIC_PROCESS,0.05920477649209988,2
GO_LEUKOCYTE_MIGRATION,9.01003355465469e-4,24
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,0.2139077204449356,3
GO_SENSORY_PERCEPTION_OF_PAIN,0.16200268608177415,6
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,1,0
GO_ALDITOL_METABOLIC_PROCESS,1,0
GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,1,0
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE,2.2865198060074846e-4,26
GO_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,0.18988207529099993,2
GO_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,0.02480166093058579,8
GO_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,4.082776681947281e-14,77
GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.28613755787414374,2
GO_PEPTIDYL_LYSINE_MODIFICATION,0.5906121810691727,9
GO_METHYLATION_DEPENDENT_CHROMATIN_SILENCING,1,0
GO_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY,1,0
GO_HORMONE_MEDIATED_SIGNALING_PATHWAY,0.40523483733520993,8
GO_ANDROGEN_BIOSYNTHETIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_PROTEIN_BINDING,0.01713298933211159,8
GO_POSITIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,0.0028702528737329343,4
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY,1,0
GO_REGULATION_OF_LIPID_METABOLIC_PROCESS,2.9740655965381337e-4,20
GO_HEMIDESMOSOME_ASSEMBLY,1,0
GO_MAST_CELL_ACTIVATION,0.8244786489065372,2
GO_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY,1,1
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,0.09809547688154625,8
GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.09727024150963237,6
GO_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION,0.9239140082773152,1
GO_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,1,0
GO_REGULATION_OF_SPINDLE_CHECKPOINT,1,0
GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,1,0
GO_ANATOMICAL_STRUCTURE_REGRESSION,1,0
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION,1,0
GO_OVARIAN_FOLLICLE_DEVELOPMENT,0.46133454210961766,3
GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,1,0
GO_REGULATION_OF_MYOBLAST_DIFFERENTIATION,0.6847208060687948,2
GO_GLUCAN_METABOLIC_PROCESS,9.01003355465469e-4,8
GO_CARDIAC_ATRIUM_DEVELOPMENT,0.968177778296583,1
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,1,2
GO_FATTY_ACID_HOMEOSTASIS,0.6248424326797761,1
GO_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,1,0
GO_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,0.003324058074436263,12
GO_REGULATION_OF_PLATELET_AGGREGATION,0.2600303274011024,2
GO_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,1,0
GO_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,0.38480470142195006,3
GO_NEPHRIC_DUCT_DEVELOPMENT,1,0
GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,0.4959794316971196,3
GO_ERROR_FREE_TRANSLESION_SYNTHESIS,0.6914961871364044,1
GO_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION,1,1
GO_RESPONSE_TO_TESTOSTERONE,0.2581827093651364,3
GO_CENTRIOLE_ASSEMBLY,0.3955422821213552,2
GO_REGULATION_OF_HEMOPOIESIS,3.282198008838703e-4,24
GO_ATRIAL_SEPTUM_DEVELOPMENT,0.7482748899184879,1
GO_DETECTION_OF_TEMPERATURE_STIMULUS,0.719992227829117,1
GO_ION_TRANSMEMBRANE_TRANSPORT,0.8302837449948165,15
GO_ENAMEL_MINERALIZATION,1,0
GO_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,1,1
GO_NEURAL_CREST_CELL_MIGRATION,0.8554066014833287,2
GO_SPINAL_CORD_MOTOR_NEURON_CELL_FATE_SPECIFICATION,1,0
GO_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,0.4803121233934732,1
GO_REGULATION_OF_BEHAVIOR,0.9998964662843428,2
GO_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS,1,0
GO_GLYCOLIPID_CATABOLIC_PROCESS,1,0
GO_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.07137409183934897,5
GO_POSITIVE_REGULATION_OF_HEART_RATE,0.9454004369267038,1
GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,8.469097106199307e-6,13
GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE,1,0
GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION,0.2139077204449356,3
GO_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT,0.2731372051851374,3
GO_PROTEIN_TARGETING_TO_MEMBRANE,2.0011517383276337e-6,14
GO_MITOTIC_CELL_CYCLE,1.9964583132719458e-8,51
GO_REGULATION_OF_FEEDING_BEHAVIOR,0.47319465432182045,2
GO_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH,0.029856451645439343,6
GO_REGULATION_OF_KIDNEY_DEVELOPMENT,0.22655968489327585,4
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS,9.746306541186066e-4,24
GO_COMPLEMENT_ACTIVATION,1,0
GO_BONE_DEVELOPMENT,0.7289098275047174,5
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,0.9884238239511952,1
GO_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,0.6298454131135276,3
GO_SMOOTH_MUSCLE_TISSUE_DEVELOPMENT,0.8554066014833287,1
GO_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,1,0
GO_NEGATIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY,1,0
GO_NCRNA_PROCESSING,0.21373336822932945,6
GO_NEGATIVE_REGULATION_OF_TRANSPORT,0.3887387956924228,14
GO_LEYDIG_CELL_DIFFERENTIATION,0.5201640341682086,1
GO_AMINE_METABOLIC_PROCESS,1,0
GO_DNA_MODIFICATION,0.9330569363800737,2
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE,1.0893102516299973e-4,26
GO_RNA_SURVEILLANCE,1,0
GO_MITOTIC_SPINDLE_ASSEMBLY,0.028361915727140714,5
GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION,1,0
GO_RESPONSE_TO_ALKALOID,0.020941304961177035,8
GO_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION,0.23056610321586296,3
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD,0.019318372792173473,4
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.02435201285890285,24
GO_REGULATION_OF_TRANSPORTER_ACTIVITY,0.8001474548000631,6
GO_EATING_BEHAVIOR,0.506628583732127,2
GO_CELL_JUNCTION_ORGANIZATION,0.13658953088796075,12
GO_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,1,0
GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT,0.761004979177393,2
GO_SPHINGOID_METABOLIC_PROCESS,1,0
GO_PROTEIN_DESTABILIZATION,0.02312232394265918,5
GO_EAR_DEVELOPMENT,0.6111277397247414,6
GO_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION,0.01846154768115267,5
GO_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,0.38480470142195006,2
GO_LAGGING_STRAND_ELONGATION,0.3917511628721895,1
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,0.004384081367280476,9
GO_REGULATION_OF_SYNAPTIC_PLASTICITY,0.3879222953397376,7
GO_LONG_TERM_SYNAPTIC_DEPRESSION,0.43970393654587536,2
GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID,0.5906121810691727,3
GO_NCRNA_TRANSCRIPTION,0.22655968489327585,4
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION,0.09123587133690805,3
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.04319234754372253,7
GO_LIPOXYGENASE_PATHWAY,1,0
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS,0.10622293443317188,4
GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS,1,0
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.43970393654587536,4
GO_ARTERY_MORPHOGENESIS,0.906306337116098,2
GO_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,1,0
GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,4.915285499508926e-13,85
GO_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,0.6626625003447562,2
GO_SPROUTING_ANGIOGENESIS,0.3917511628721895,5
GO_LYMPHOCYTE_ACTIVATION,7.570463730582026e-5,34
GO_NEGATIVE_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY,1,0
GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY,1,0
GO_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION,1,0
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,0.8053534553866574,1
GO_PROTEIN_TRIMERIZATION,1,1
GO_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,0.12742045734104207,8
GO_PROTEOGLYCAN_METABOLIC_PROCESS,0.7482748899184879,1
GO_DOPAMINE_METABOLIC_PROCESS,1,0
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.1718123868698537,15
GO_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS,0.04409919325901436,3
GO_LEUKOCYTE_PROLIFERATION,0.05954353070058599,14
GO_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.506628583732127,2
GO_L_ASCORBIC_ACID_METABOLIC_PROCESS,1,0
GO_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT,1,0
GO_REGULATION_OF_GENE_EXPRESSION_BY_GENETIC_IMPRINTING,1,0
GO_ADHERENS_JUNCTION_ASSEMBLY,0.016041377570429186,8
GO_SECRETORY_GRANULE_ORGANIZATION,1,0
GO_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1,1
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,0.5672802746302353,2
GO_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,0.47319465432182045,2
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE,1,0
GO_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1,1
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,1,0
GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION,0.5201640341682086,2
GO_IN_UTERO_EMBRYONIC_DEVELOPMENT,0.42357511228473216,10
GO_NEGATIVE_REGULATION_OF_BLOOD_CIRCULATION,0.5201640341682086,2
GO_ER_NUCLEUS_SIGNALING_PATHWAY,0.2874249982037137,3
GO_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,1,0
GO_PROTEIN_HETEROTRIMERIZATION,1,0
GO_VESICLE_CYTOSKELETAL_TRAFFICKING,0.4803121233934732,2
GO_EPITHELIAL_CILIUM_MOVEMENT,1,0
GO_NEGATIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE,1,0
GO_MESENCHYMAL_CELL_DIFFERENTIATION,0.1851097192191632,9
GO_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,0.4803121233934732,2
GO_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS,1,0
GO_ATRIAL_SEPTUM_MORPHOGENESIS,1,0
GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,0.11499698364673328,12
GO_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS,0.02598739584862626,4
GO_RNA_MODIFICATION,1,1
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,1,1
GO_ORGANELLE_FISSION,0.2640237247966657,13
GO_EMBRYONIC_FORELIMB_MORPHOGENESIS,0.4206453264609167,2
GO_NOSE_DEVELOPMENT,1,0
GO_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,0.8053534553866574,2
GO_MUSCLE_STRUCTURE_DEVELOPMENT,0.023340913009459334,23
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,4.787930356168934e-4,20
GO_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,0.35941389266859863,2
GO_REGULATION_OF_CHROMATIN_SILENCING,1,0
GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,0.18988207529099993,2
GO_MAINTENANCE_OF_LOCATION_IN_CELL,0.26844548238957533,4
GO_CEREBELLAR_CORTEX_DEVELOPMENT,0.2139077204449356,3
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION,0.09824690202295054,4
GO_REGULATION_OF_MESODERM_DEVELOPMENT,0.6563439224933438,1
GO_T_HELPER_1_TYPE_IMMUNE_RESPONSE,0.15823349318369914,4
GO_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE,1,0
GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE,1,1
GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,0.003761090717410942,14
GO_DNA_CATABOLIC_PROCESS,0.9884238239511952,1
GO_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,0.13656477588213517,3
GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,2.110131129239496e-5,35
GO_RESPONSE_TO_PROSTAGLANDIN,0.23056610321586296,3
GO_CELL_FATE_COMMITMENT_INVOLVED_IN_FORMATION_OF_PRIMARY_GERM_LAYER,0.506628583732127,2
GO_DNA_REPAIR,0.2063011307438467,16
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE,0.316204122437798,4
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.038509177950238324,4
GO_PROTEIN_HETEROTETRAMERIZATION,0.9239140082773152,1
GO_NEGATIVE_REGULATION_OF_HEART_CONTRACTION,0.3955422821213552,2
GO_SUBSTRATE_INDEPENDENT_TELENCEPHALIC_TANGENTIAL_MIGRATION,1,0
GO_SULFUR_COMPOUND_CATABOLIC_PROCESS,1,0
GO_CHLORIDE_TRANSPORT,1,0
GO_MICROTUBULE_DEPOLYMERIZATION,1,0
GO_PROTEIN_POLYMERIZATION,0.04308170036833768,12
GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,0.5127749739457261,3
GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,4.067742647119662e-6,16
GO_COBALAMIN_METABOLIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,0.8053534553866574,1
GO_MUSCLE_CONTRACTION,0.18988207529099993,12
GO_TELOMERE_LOCALIZATION,1,0
GO_TRANSITION_METAL_ION_HOMEOSTASIS,0.02297029817396467,7
GO_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION,0.013348610726464025,7
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,5.507957694960487e-8,52
GO_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS,1,0
GO_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.9239140082773152,1
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_VIRUS,0.02598739584862626,4
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION,0.7178451215188324,2
GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,0.3308650075687283,6
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION,0.28613755787414374,2
GO_RESPONSE_TO_BACTERIUM,8.32202477413462e-6,32
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION,0.7482748899184879,1
GO_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,1,0
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,0.07508566403301216,8
